Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id
2020-03-11 11:13:15.201200,7,WhiteHole.SinglePlayer.Exit,Blue Player,84.0,65.0,
2020-03-11 11:13:17.034300,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:13:17.151300,7,WhiteHole.SinglePlayer.Exit,Blue Player,84.0,65.0,
2020-03-11 11:13:19.740400,7,Asteroid.SinglePlayer.Exit,Blue Player,91.0,58.0,
2020-03-11 11:13:20.034500,7,WhiteHole.SinglePlayer.Touch,Red Player,62.0,21.0,
2020-03-11 11:13:20.534500,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:13:20.951500,7,WhiteHole.SinglePlayer.Exit,Blue Player,84.0,65.0,
2020-03-11 11:13:23.351600,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:13:26.401800,7,WhiteHole.SinglePlayer.Exit,Blue Player,84.0,65.0,
2020-03-11 11:13:26.873800,7,WhiteHole.SinglePlayer.Trigger,Red Player,62.0,21.0,
2020-03-11 11:13:27.651900,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:13:28.752000,7,Planet.Creation,Blue Player,86.0,62.0,9708.0
2020-03-11 11:13:31.157100,7,WhiteHole.SinglePlayer.Trigger,Blue Player,84.0,65.0,
2020-03-11 11:13:39.170500,7,WhiteHole.SinglePlayer.Touch,Red Player,21.0,37.0,
2020-03-11 11:13:40.023600,7,Planet.SinglePlayer.Connection,Red Player,26.0,38.0,8856.0
2020-03-11 11:13:42.202700,7,WhiteHole.SinglePlayer.Exit,Red Player,21.0,37.0,
2020-03-11 11:13:43.642800,7,Planet.SinglePlayer.Connection,Blue Player,36.0,62.0,6484.0
2020-03-11 11:13:44.240800,7,Planet.SinglePlayer.Exit,Blue Player,41.0,57.0,6484.0
2020-03-11 11:13:44.302800,7,WhiteHole.SinglePlayer.Touch,Blue Player,26.0,58.0,
2020-03-11 11:13:44.519900,7,Planet.Creation,Red Player,22.0,35.0,10072.0
2020-03-11 11:13:44.585900,7,WhiteHole.SinglePlayer.Touch,Red Player,21.0,37.0,
2020-03-11 11:13:44.852900,7,WhiteHole.SinglePlayer.Exit,Red Player,21.0,37.0,
2020-03-11 11:13:47.970100,7,WhiteHole.SinglePlayer.Touch,Red Player,21.0,37.0,
2020-03-11 11:13:49.058100,7,Planet.SinglePlayer.Exit,Red Player,34.0,43.0,8856.0
2020-03-11 11:13:51.474300,7,WhiteHole.SinglePlayer.Trigger,Red Player,21.0,37.0,
2020-03-11 11:13:51.491300,7,WhiteHole.SinglePlayer.Trigger,Blue Player,26.0,58.0,
2020-03-11 11:13:51.504300,7,WhiteHole.MultiPlayer.Trigger,,24.0,48.0,
2020-03-11 11:13:59.793700,7,Planet.SinglePlayer.Connection,Red Player,31.0,39.0,8856.0
2020-03-11 11:14:01.142800,7,Planet.SinglePlayer.Exit,Red Player,34.0,43.0,8856.0
2020-03-11 11:14:03.905000,7,WhiteHole.SinglePlayer.Touch,Red Player,78.0,39.0,
2020-03-11 11:14:05.477100,7,Planet.SinglePlayer.Connection,Red Player,74.0,40.0,8544.0
2020-03-11 11:14:06.593100,7,Planet.SinglePlayer.Connection,Blue Player,33.0,46.0,8856.0
2020-03-11 11:14:07.393200,7,WhiteHole.SinglePlayer.Trigger,Red Player,78.0,39.0,
2020-03-11 11:14:07.493200,7,Planet.SinglePlayer.Exit,Blue Player,34.0,43.0,8856.0
2020-03-11 11:14:07.994200,7,Planet.SinglePlayer.Connection,Blue Player,41.0,57.0,5960.0
2020-03-11 11:14:09.493300,7,Planet.SinglePlayer.Connection,Blue Player,46.0,59.0,5960.0
2020-03-11 11:14:10.377300,7,Planet.SinglePlayer.Exit,Blue Player,46.0,59.0,5960.0
2020-03-11 11:14:12.821500,7,WhiteHole.SinglePlayer.Touch,Blue Player,84.0,65.0,
2020-03-11 11:14:14.510600,7,Planet.SinglePlayer.Connection,Blue Player,81.0,66.0,9708.0
2020-03-11 11:14:16.311700,7,WhiteHole.SinglePlayer.Trigger,Blue Player,84.0,65.0,
2020-03-11 11:14:17.276700,7,Planet.SinglePlayer.Exit,Red Player,76.0,39.0,8544.0
2020-03-11 11:14:20.494900,7,Planet.SinglePlayer.Exit,Blue Player,86.0,62.0,9708.0
2020-03-11 11:14:22.206000,7,WhiteHole.SinglePlayer.Touch,Red Player,26.0,58.0,
2020-03-11 11:14:25.695200,7,WhiteHole.SinglePlayer.Trigger,Red Player,26.0,58.0,
2020-03-11 11:14:27.306300,7,WhiteHole.SinglePlayer.Touch,Blue Player,21.0,37.0,
2020-03-11 11:14:30.796500,7,WhiteHole.SinglePlayer.Trigger,Blue Player,21.0,37.0,
2020-03-11 11:14:35.774800,7,Planet.Creation,Blue Player,30.0,41.0,11960.0
2020-03-11 11:14:51.074700,7,WhiteHole.SinglePlayer.Touch,Blue Player,78.0,39.0,
2020-03-11 11:14:51.824700,7,WhiteHole.SinglePlayer.Exit,Blue Player,78.0,39.0,
2020-03-11 11:14:53.178800,7,End,,,,
